user,battery,movedComponent,0.00285 (0.002),0.00333 (0.003),0.497
user,resistorEditor,endDrag,0.01216 (0.016),0.00923 (0.007),0.380
user,resistivitySlider,endDrag,0.00410 (0.002),0.00195 (0.001),0.274
user,circuitSwitch,switchOpened,0.00688 (0.003),0.00222 (0.001),0.268
user,resistor,removedComponent,0.00797 (0.005),0.00831 (0.006),0.810
user,largeRadioButton,pressed,0.00294 (0.002),0.00175 (0.000),0.351
user,saveButton,pressed,0.00122 (0.000),- (-),-
user,resistorEditor,startDrag,0.01216 (0.016),0.00923 (0.007),0.380
user,seriesAmmeter,addedComponent,0.00230 (0.001),0.00364 (0.003),0.270
model,seriesAmmeter,fireStarted,0.00066 (0.000),0.00287 (0.002),-
user,blackProbe,startDrag,0.01799 (0.007),0.01753 (0.009),0.831
model,resistor,fireEnded,0.00384 (0.003),0.00704 (0.013),0.509
user,lifelikeRadioButton,pressed,0.00304 (0.002),0.00137 (0.001),0.247
