user_id,action,time,cohort (main)
32462,self_test10.module3.problem_check,10/28/2015 10:07,Group B
32462,self_test11.module3.problem_check,10/28/2015 10:08,Group B
32462,self_test11.module3.problem_check,10/28/2015 10:08,Group B
32462,self_test12.module3.problem_check,10/28/2015 10:08,Group B
32462,self_test12.module3.problem_check,10/28/2015 10:08,Group B
32462,self_test13.module3.problem_check,10/28/2015 10:09,Group B
32462,self_test13.module3.problem_check,10/28/2015 10:09,Group B
32462,self_test14.module3.problem_check,10/28/2015 10:09,Group B
32462,self_test14.module3.problem_check,10/28/2015 10:09,Group B
32462,self_test15.module3.problem_check,10/28/2015 10:10,Group B
32462,video9.module3.play_video,10/28/2015 10:10,Group B
32462,video9.module3.pause_video,10/28/2015 10:10,Group B
32462,video9.module3.play_video,10/28/2015 10:14,Group B
32462,video9.module3.pause_video,10/28/2015 10:17,Group B
32462,self_test16.module3.problem_check,10/28/2015 10:17,Group B
32462,video10.module3.play_video,10/28/2015 10:18,Group B
32462,self_test17.module3.problem_check,10/28/2015 10:21,Group B
32462,self_test17.module3.problem_check,10/28/2015 10:21,Group B
32462,video10.module3.pause_video,10/28/2015 10:21,Group B
32462,video11.module3.play_video,10/28/2015 10:21,Group B
32462,video12.module3.play_video,10/28/2015 11:04,Group B
32462,video12.module3.pause_video,10/28/2015 11:06,Group B
32462,self_test18.module3.problem_check,10/28/2015 11:06,Group B
32462,self_test18.module3.problem_check,10/28/2015 11:06,Group B
32462,video13.module3.play_video,10/28/2015 11:07,Group B
32462,video13.module3.pause_video,10/28/2015 11:08,Group B
32462,self_test19.module3.problem_check,10/28/2015 11:08,Group B
32462,video14.module3.play_video,10/28/2015 11:08,Group B
32462,video14.module3.pause_video,10/28/2015 11:09,Group B
32462,self_test20.module3.problem_check,10/28/2015 11:09,Group B
32462,video15.module3.play_video,10/28/2015 11:09,Group B
32462,video15.module3.pause_video,10/28/2015 11:16,Group B
32462,self_test21.module3.problem_check,10/28/2015 11:16,Group B
32462,video16.module3.play_video,10/28/2015 11:16,Group B
32462,video16.module3.pause_video,10/28/2015 11:17,Group B
32462,video16.module3.play_video,10/29/2015 3:51,Group B
32462,video16.module3.pause_video,10/29/2015 3:53,Group B
32462,graded_problem1.module3.problem_check,10/29/2015 4:02,Group B
32462,graded_problem1.module3.problem_check,10/29/2015 4:02,Group B
32462,graded_problem2.module3.problem_check,10/29/2015 4:02,Group B
32462,graded_problem3.module3.problem_check,10/29/2015 4:02,Group B
32462,graded_problem3.module3.problem_check,10/29/2015 4:02,Group B
32462,graded_problem4.module3.problem_check,10/29/2015 4:03,Group B
32462,graded_problem4.module3.problem_check,10/29/2015 4:03,Group B
32462,graded_problem5.module3.problem_check,10/29/2015 4:03,Group B
32462,graded_problem6.module3.problem_check,10/29/2015 4:04,Group B
32462,graded_problem6.module3.problem_check,10/29/2015 4:04,Group B
32462,graded_problem7.module3.problem_check,10/29/2015 4:05,Group B
32462,graded_problem7.module3.problem_check,10/29/2015 4:05,Group B
32462,graded_problem8.module3.problem_check,10/29/2015 4:06,Group B
32462,graded_problem9.module3.problem_check,10/29/2015 4:06,Group B
32462,graded_problem9.module3.problem_check,10/29/2015 4:06,Group B
32462,graded_problem10.module3.problem_check,10/29/2015 4:06,Group B
32462,graded_problem10.module3.problem_check,10/29/2015 4:06,Group B
32462,forum.read,10/30/2015 8:57,Group B
32462,self_test1.module4.problem_check,11/11/2015 1:22,Group B
32462,self_test1.module4.problem_check,11/11/2015 1:22,Group B
32462,video1.module4.play_video,11/11/2015 1:22,Group B
32462,video1.module4.pause_video,11/11/2015 1:22,Group B
32462,video1.module4.play_video,11/11/2015 1:23,Group B
32462,video1.module4.pause_video,11/11/2015 1:29,Group B
32462,video2.module4.play_video,11/11/2015 1:29,Group B
32462,video2.module4.pause_video,11/11/2015 1:29,Group B
32462,video2.module4.pause_video,11/11/2015 1:29,Group B
32462,video2.module4.play_video,11/11/2015 1:30,Group B
32462,video2.module4.pause_video,11/11/2015 1:30,Group B
32462,video2.module4.play_video,11/11/2015 1:32,Group B
32462,video2.module4.pause_video,11/11/2015 1:35,Group B
32462,self_test2.module4.problem_check,11/11/2015 1:54,Group B
32462,self_test3.module4.problem_check,11/11/2015 2:07,Group B
32462,self_test3.module4.problem_check,11/11/2015 2:07,Group B
32462,video4.module4.play_video,11/11/2015 2:08,Group B
32462,video4.module4.pause_video,11/11/2015 2:09,Group B
32462,video4.module4.play_video,11/11/2015 2:10,Group B
32462,video4.module4.pause_video,11/11/2015 2:13,Group B
32462,video5.module4.play_video,11/11/2015 2:16,Group B
32462,video5.module4.pause_video,11/11/2015 2:17,Group B
32462,video5.module4.play_video,11/11/2015 2:17,Group B
32462,video5.module4.play_video,11/11/2015 2:19,Group B
32462,video5.module4.pause_video,11/11/2015 2:19,Group B
32462,video6.module4.play_video,11/11/2015 6:48,Group B
32462,video6.module4.pause_video,11/11/2015 6:50,Group B
32462,self_test4.module4.problem_check,11/11/2015 6:50,Group B
32462,video7.module4.play_video,11/11/2015 6:51,Group B
32462,video7.module4.pause_video,11/11/2015 6:59,Group B
32462,graded_problem2.module4.problem_check,11/11/2015 7:02,Group B
32462,graded_problem2.module4.problem_check,11/11/2015 7:02,Group B
32462,graded_problem3.module4.problem_check,11/11/2015 7:03,Group B
32462,graded_problem4.module4.problem_check,11/11/2015 7:03,Group B
32462,graded_problem4.module4.problem_check,11/11/2015 7:03,Group B
32462,graded_problem5.module4.problem_check,11/11/2015 7:04,Group B
32462,graded_problem5.module4.problem_check,11/11/2015 7:04,Group B
32462,graded_problem6.module4.problem_check,11/11/2015 7:05,Group B
32462,graded_problem6.module4.problem_check,11/11/2015 7:05,Group B
32462,graded_problem7.module4.problem_check,11/11/2015 7:06,Group B
32462,graded_problem7.module4.problem_check,11/11/2015 7:06,Group B
32462,graded_problem8.module4.problem_check,11/11/2015 7:06,Group B
32462,graded_problem9.module4.problem_check,11/11/2015 7:07,Group B
32462,graded_problem10.module4.problem_check,11/11/2015 7:07,Group B
32462,graded_problem6.module4.showanswer,11/11/2015 7:08,Group B
32462,graded_problem1.module4.problem_check,11/11/2015 7:13,Group B
32462,video1.module5.play_video,11/16/2015 9:35,Group B
32462,video1.module5.pause_video,11/16/2015 9:45,Group B
32462,self_test1.module5.problem_check,11/16/2015 9:45,Group B
32462,self_test1.module5.problem_check,11/16/2015 9:45,Group B
32462,video2.module5.play_video,11/16/2015 9:45,Group B
32462,video2.module5.pause_video,11/16/2015 9:50,Group B
32462,video3.module5.play_video,11/16/2015 9:59,Group B
32462,video3.module5.pause_video,11/16/2015 10:13,Group B
32462,video4.module5.play_video,11/16/2015 10:17,Group B
32462,video4.module5.pause_video,11/16/2015 10:26,Group B
32462,video4.module5.play_video,11/16/2015 10:28,Group B
32462,graded_problem1.module5.problem_check,11/16/2015 10:30,Group B
32462,graded_problem1.module5.problem_check,11/16/2015 10:31,Group B
32462,graded_problem2.module5.problem_check,11/16/2015 10:31,Group B
32462,graded_problem3.module5.problem_check,11/16/2015 10:31,Group B
32462,graded_problem4.module5.problem_check,11/16/2015 10:32,Group B
32462,graded_problem5.module5.problem_check,11/16/2015 10:32,Group B
32462,graded_problem6.module5.problem_check,11/16/2015 10:32,Group B
32462,graded_problem7.module5.problem_check,11/16/2015 10:33,Group B
32462,graded_problem8.module5.problem_check,11/16/2015 10:33,Group B
32462,graded_problem9.module5.problem_check,11/16/2015 10:33,Group B
32462,graded_problem10.module5.problem_check,11/16/2015 10:33,Group B
32462,graded_problem11.module5.problem_check,11/16/2015 10:34,Group B
32462,forum.read,11/18/2015 3:32,Group B
32462,forum.read,11/18/2015 3:32,Group B
32462,forum.read,11/18/2015 3:32,Group B
32462,forum.read,11/18/2015 3:33,Group B
32462,forum.read,11/18/2015 3:33,Group B
32462,forum.read,11/18/2015 3:34,Group B
32462,forum.read,11/18/2015 3:34,Group B
32462,video1.module6.play_video,11/18/2015 3:38,Group B
32462,video1.module6.pause_video,11/18/2015 3:49,Group B
32462,video3.module6.play_video,11/18/2015 4:08,Group B
32462,video3.module6.pause_video,11/18/2015 4:09,Group B
32462,self_test1.module6.problem_check,11/18/2015 4:10,Group B
